商品名,一般名詞,大分類,中分類,小分類（カテゴリ）,小分類（商品）,キーワード,店舗,価格（税込）,価格（税抜）,価格テキスト,JANコード,メーカー,在庫,画像URL,登録日時
森永乳業　クラフト　切れてるチーズ　カマンベール入り　１８枚切　１３．．．,チーズ,食料品,乳製品,チーズ,乳製品,"['カマンベール入り', '切れてるチーズ', '森永乳業', 'クラフト']",ダイエーネットスーパー,354.24,328.0,本体¥328.0 / 税込¥354.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/95/4902720156295_th.jpg,2025-12-27T19:39:07.966411+00:00
森永乳業　クラフト　切れてるチーズ　モッツァレラ　１８枚切　１３４ｇ,チーズ,食料品,乳製品,チーズ,乳製品,"['チーズ', 'モッツァレラ', '乳製品', 'スナック', 'おつまみ']",ダイエーネットスーパー,354.24,328.0,本体¥328.0 / 税込¥354.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/01/4902720156301_th.jpg,2025-12-27T19:39:08.234219+00:00
森永乳業　クラフト　切れてるチーズ　１８枚切　１３４ｇ,プロセスチーズ,食料品,乳製品,チーズ,乳製品,"['チーズ', 'スライスチーズ', 'クラフト', '森永乳業']",ダイエーネットスーパー,354.24,328.0,本体¥328.0 / 税込¥354.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/71/4902720156271_th.jpg,2025-12-27T19:39:07.146696+00:00
花畑牧場　生さけるチーズ　プレーン　２本入,チーズ,食料品,乳製品,チーズ,乳製品,"['チーズ', '生チーズ', 'さけるチーズ', '花畑牧場']",ダイエーネットスーパー,192.24,178.0,本体¥178.0 / 税込¥192.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/27/4541109061227_th.jpg,2025-12-28T11:40:40.845963+00:00
花畑牧場　生モッツァレラ　ミニタイプ　ボッコンチーニ　９０ｇ,モッツァレラチーズ,食料品,乳製品,チーズ,チーズ,"['モッツァレラチーズ', '生モッツァレラ', 'ミニタイプ', 'ボッコンチーニ', '花畑牧場']",ダイエーネットスーパー,321.84,298.0,本体¥298.0 / 税込¥321.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/32/4541109059132_th.jpg,2025-12-28T11:40:40.430903+00:00
雪印メグミルク　かけるだけチーズソース　トロチ　モッツァレラチーズ入．．．,チーズソース,食料品,乳製品,チーズ,調味料,"['チーズソース', 'モッツァレラチーズ', 'かけるだけ', '雪印メグミルク', 'トロチ']",ダイエーネットスーパー,321.84,298.0,本体¥298.0 / 税込¥321.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/35/4903050509935_th.jpg,2025-12-27T19:39:11.717385+00:00
雪印メグミルク　こんがり焼ける　とろけるスライス　７枚入,スライスチーズ,食料品,乳製品,チーズ,チーズ,"['スライスチーズ', 'チーズ', '乳製品', '雪印メグミルク']",ダイエーネットスーパー,300.24,278.0,本体¥278.0 / 税込¥300.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/70/4903050509270_th.jpg,2025-12-27T19:39:32.828501+00:00
雪印メグミルク　こんがり焼けるとろけるスライス　グラタン風味　７枚入,スライスチーズ,食料品,乳製品,チーズ,チーズ,"['チーズ', 'スライスチーズ', 'グラタン風味', '雪印メグミルク', '乳製品']",ダイエーネットスーパー,300.24,278.0,本体¥278.0 / 税込¥300.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/66/4903050510566_th.jpg,2025-12-27T19:39:33.653352+00:00
雪印メグミルク　とろけるスライス　７枚入,チーズ,食料品,乳製品,チーズ,乳製品,"['スライスチーズ', 'とろけるチーズ', '雪印メグミルク', 'チーズ', '乳製品']",ダイエーネットスーパー,300.24,278.0,本体¥278.0 / 税込¥300.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/63/4903050509263_th.jpg,2025-12-27T19:39:32.517195+00:00
雪印メグミルク　北海道１００　チェダークラッシュ　５０ｇ,チーズ,食料品,乳製品,チーズ,乳製品・卵,"['チェダーチーズ', 'クラッシュチーズ', '雪印メグミルク', '北海道']",ダイエーネットスーパー,300.24,278.0,本体¥278.0 / 税込¥300.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/97/4903050167197_th.jpg,2025-12-27T19:39:53.799809+00:00
雪印メグミルク　牧場の朝チーズケーキ　ヨーグルト味　６本入,チーズケーキ,食料品,乳製品,チーズ,洋菓子,"['チーズケーキ', 'ヨーグルト味', 'デザート', '個包装']",ダイエーネットスーパー,300.24,278.0,本体¥278.0 / 税込¥300.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/68/4903050510368_th.jpg,2025-12-27T19:39:12.170772+00:00
雪印メグミルク　粉チーズ　マイルド　５０ｇ,粉チーズ,食料品,乳製品,チーズ,乳製品,"['粉チーズ', 'チーズ', '雪印メグミルク', 'マイルド', '調味料']",ダイエーネットスーパー,321.84,298.0,本体¥298.0 / 税込¥321.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/81/4903050100781_th.jpg,2025-12-27T19:39:56.295642+00:00
雪印メグミルク　雪印北海道１００　さけるチーズ　とうがらし味　２本入,チーズ,食料品,乳製品,チーズ,チーズ,"['チーズ', '乳製品', 'おつまみ', 'スナック']",ダイエーネットスーパー,213.84,198.0,本体¥198.0 / 税込¥213.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/45/0000049839845_th.jpg,2025-12-27T19:39:41.053089+00:00
雪印メグミルク　雪印北海道１００　さけるチーズ　プレーン　２本入,プロセスチーズ,食料品,乳製品,チーズ,チーズ,"['チーズ', '乳製品', 'スナック', '雪印']",ダイエーネットスーパー,213.84,198.0,本体¥198.0 / 税込¥213.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/07/0000049839807_th.jpg,2025-12-27T19:39:40.362687+00:00
雪印メグミルク　雪印北海道１００　カッテージチーズ　１００ｇ,カッテージチーズ,食料品,乳製品,チーズ,チーズ,"['カッテージチーズ', '雪印メグミルク', '乳製品', 'チーズ', '北海道']",ダイエーネットスーパー,321.84,298.0,本体¥298.0 / 税込¥321.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/61/0000049838961_th.jpg,2025-12-27T19:39:39.799113+00:00
雪印メグミルク　１才からのチーズ　鉄分入り　６本入　７２ｇ,チーズ,食料品,乳製品,チーズ,チーズ,"['チーズ', '乳製品', 'ベビーフード', '鉄分']",ダイエーネットスーパー,300.24,278.0,本体¥278.0 / 税込¥300.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/43/4903050508143_th.jpg,2025-12-27T19:39:08.917161+00:00
雪印メグミルク　１才からのチーズ　６本入,チーズ,食料品,乳製品,チーズ,乳製品,"['チーズ', 'ベビーフード', '乳児用', 'おやつ']",ダイエーネットスーパー,300.24,278.0,本体¥278.0 / 税込¥300.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/59/4903050168859_th.jpg,2025-12-27T19:39:08.656406+00:00
雪印メグミルク　６Ｐチーズ　スモーク味　９０ｇ,チーズ,食料品,乳製品,チーズ,乳製品,"['プロセスチーズ', 'スモークチーズ', '6Pチーズ', '雪印メグミルク']",ダイエーネットスーパー,300.24,278.0,本体¥278.0 / 税込¥300.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/46/4903050509546_th.jpg,2025-12-27T19:39:10.945819+00:00
雪印メグミルク　６Ｐチーズ　ペッパー入り　９０ｇ,チーズ,食料品,乳製品,チーズ,乳製品,"['プロセスチーズ', 'スライスチーズ', 'おつまみ', '軽食', 'チーズ']",ダイエーネットスーパー,300.24,278.0,本体¥278.0 / 税込¥300.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/53/4903050509553_th.jpg,2025-12-27T19:39:11.288322+00:00
雪印メグミルク　６Ｐチーズ　塩分２５％カット　９０ｇ,プロセスチーズ,食料品,乳製品,チーズ,チーズ,"['チーズ', '低塩分', 'スライスチーズ', '6Pチーズ', '雪印メグミルク']",ダイエーネットスーパー,300.24,278.0,本体¥278.0 / 税込¥300.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/15/4903050509515_th.jpg,2025-12-27T19:39:10.178314+00:00
雪印メグミルク　６Ｐチーズ　１０２ｇ,チーズ,食料品,乳製品,チーズ,乳製品,"['チーズ', '6Pチーズ', '雪印メグミルク', 'スライスチーズ', '乳製品']",ダイエーネットスーパー,300.24,278.0,本体¥278.0 / 税込¥300.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/08/4903050509508_th.jpg,2025-12-27T19:39:09.845282+00:00
ＱＢＢ　チーズｉｎスライス　ＣＨＥＡＳＹ（チィージー）７枚入　１０５．．．,チーズ,食料品,乳製品,チーズ,チーズ,"['チーズ', 'スライスチーズ', '乳製品', 'おつまみ', '料理用']",ダイエーネットスーパー,170.64,158.0,本体¥158.0 / 税込¥170.64,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/82/4903308060782_th.jpg,2025-12-27T19:39:18.468553+00:00
雪印メグミルク　雪印北海道バター　食塩不使用　２００ｇ,バター,食料品,乳製品,バター,バター,"['バター', '食塩不使用', '雪印', '乳製品']",ダイエーネットスーパー,645.84,598.0,本体¥598.0 / 税込¥645.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/96/4903050155996_th.jpg,2025-12-27T19:38:51.038864+00:00
アヲハタ　ヴェルデ　ミルキーホイップ　８０ｇ,ホイップクリーム,食料品,乳製品,ホイップクリーム,製菓材料,"['ホイップクリーム', '製菓', 'デザート', 'お菓子作り', 'アヲハタ']",ダイエーネットスーパー,365.04,338.0,本体¥338.0 / 税込¥365.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/40/4562452232140_th.jpg,2025-12-27T19:43:20.24393+00:00
ソントン　パンにぬるホイップクリーム　きなこピーナッツ　１５０ｇ,ホイップクリーム,食料品,乳製品,ホイップクリーム,パン・ジャム・スプレッド,"['ホイップクリーム', 'きなこ', 'ピーナッツ', 'スプレッド', 'パン']",ダイエーネットスーパー,300.24,278.0,本体¥278.0 / 税込¥300.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/82/4901671210582_th.jpg,2025-12-27T19:43:07.492387+00:00
ソントン　パンにぬるホイップクリーム　キャラメル　１４０ｇ,ホイップクリーム,食料品,乳製品,ホイップクリーム,デザート・スイーツ,"['パンにぬる', 'キャラメル', 'ホイップ', 'クリーム', 'スイーツ']",ダイエーネットスーパー,300.24,278.0,本体¥278.0 / 税込¥300.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/11/4901671210711_th.jpg,2025-12-27T19:43:07.825243+00:00
ソントン　パンにぬるホイップクリーム　粒ピーナッツ　１５０ｇ,ホイップクリーム,食料品,乳製品,ホイップクリーム,パン・菓子,"['ホイップクリーム', 'ピーナッツ', 'パン', 'スプレッド', 'デザート']",ダイエーネットスーパー,300.24,278.0,本体¥278.0 / 税込¥300.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/75/4901671210575_th.jpg,2025-12-27T19:43:07.155412+00:00
トップバリュ　ディズニー　いろいろ使える　しぼるだけホイップ　２２０．．．,ホイップクリーム,食料品,乳製品,ホイップクリーム,製菓材料,"['ホイップ', 'クリーム', 'ディズニー', '製菓', 'トッピング']",ダイエーネットスーパー,257.04,238.0,本体¥238.0 / 税込¥257.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/72/4549414540772_th.jpg,2025-12-27T19:38:48.58621+00:00
雪印メグミルク　ホイップ　植物性脂肪４０％　２００ｍｌ,ホイップクリーム,食料品,乳製品,ホイップクリーム,乳製品,"['ホイップ', '植物性脂肪', '乳製品', '製菓', '調理']",ダイエーネットスーパー,213.84,198.0,本体¥198.0 / 税込¥213.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/31/4908011540231_th.jpg,2025-12-27T19:38:48.937279+00:00
雪印メグミルク　ホイップかるい口どけ　植物性脂肪３０％　２００ｍｌ,ホイップクリーム,食料品,乳製品,ホイップクリーム,乳製品,"['ホイップクリーム', '植物性脂肪', '乳製品', '製菓材料']",ダイエーネットスーパー,213.84,198.0,本体¥198.0 / 税込¥213.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/30/4908011540330_th.jpg,2025-12-27T19:38:49.280126+00:00
オハヨー乳業　ぜいたく果実　いちごのむヨーグルト　１８０ｇ,飲むヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['飲むヨーグルト', 'いちご', '乳製品', 'デザート']",ダイエーネットスーパー,170.64,158.0,本体¥158.0 / 税込¥170.64,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/50/4970020110750_th.jpg,2025-12-27T19:38:00.565003+00:00
グリコ　ＢｉｆｉＸヨーグルト　プレーン　砂糖不使用　３７５ｇ,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', '乳製品', 'デザート', 'プレーン', '砂糖不使用']",ダイエーネットスーパー,213.84,198.0,本体¥198.0 / 税込¥213.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/77/4971666489477_th.jpg,2025-12-27T19:36:31.43512+00:00
タカナシ乳業　ヨーグルト　おなかへＧＧ　１００ｇ（特定保健用食品）,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', '乳製品', '特定保健用食品', 'タカナシ乳業']",ダイエーネットスーパー,127.44,118.0,本体¥118.0 / 税込¥127.44,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/95/0000049853995_th.jpg,2025-12-27T19:36:34.766273+00:00
ダノンジャパン　オイコス　タンパク質プロテイン１０ｇ　ストロベリー　．．．,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ダノン', 'オイコス', 'ヨーグルト', 'ストロベリー', 'プロテイン']",ダイエーネットスーパー,192.24,178.0,本体¥178.0 / 税込¥192.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/82/0000045207082_th.jpg,2025-12-27T19:36:53.750308+00:00
ダノンジャパン　オイコス　タンパク質プロテイン１０ｇ　脂肪０　レモン．．．,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', 'プロテイン', 'レモン', 'ダノン', 'オイコス']",ダイエーネットスーパー,192.24,178.0,本体¥178.0 / 税込¥192.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/59/4901112800259_th.jpg,2025-12-27T19:37:09.854292+00:00
ダノンジャパン　プチダノン　もも　１歳～　４５ｇ×４個入,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', '乳製品', 'ベビーフード', '桃', 'デザート']",ダイエーネットスーパー,246.24,228.0,本体¥228.0 / 税込¥246.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/65/4901112200165_th.jpg,2025-12-27T19:36:57.064418+00:00
ダノンジャパン　プチダノン　りんご　１歳～　４５ｇ×４個入,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', 'ベビーフード', '乳製品', 'デザート', 'りんご']",ダイエーネットスーパー,246.24,228.0,本体¥228.0 / 税込¥246.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/58/4901112200158_th.jpg,2025-12-27T19:36:56.396125+00:00
ダノンジャパン　ベビーダノン　いちご　６ヶ月～　４５ｇ×４個入,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ベビーフード', 'ヨーグルト', 'いちご', '離乳食']",ダイエーネットスーパー,246.24,228.0,本体¥228.0 / 税込¥246.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/08/4901112250108_th.jpg,2025-12-27T19:36:57.428599+00:00
ダノンジャパン　ＢＩＯ　ビオ　トロピカルマンゴー＆パイン　７５ｇ×４．．．,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', 'トロピカル', 'マンゴー', 'パイン', 'ダノン']",ダイエーネットスーパー,246.24,228.0,本体¥228.0 / 税込¥246.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/96/4901112611596_th.jpg,2025-12-27T19:37:09.479787+00:00
ダノンジャパン　ＢＩＯ　ビオ　フレッシュ＆ドライいちじく　７５ｇ×４．．．,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', 'ダノン', 'ビオ', 'いちじく', '乳製品']",ダイエーネットスーパー,246.24,228.0,本体¥228.0 / 税込¥246.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/73/4901112600873_th.jpg,2025-12-27T19:36:57.827481+00:00
ダノンジャパン　ＢＩＯ　ビオ　完熟ストロベリー　７５ｇ×４個入,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', 'ダノン', 'ビオ', 'ストロベリー', '乳製品']",ダイエーネットスーパー,246.24,228.0,本体¥228.0 / 税込¥246.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/82/4901112610582_th.jpg,2025-12-27T19:36:58.85287+00:00
ダノンジャパン　ＢＩＯ　ビオ　甘酸っぱいアセロラ　７５ｇ×４個入,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', 'ダノン', 'ビオ', 'アセロラ', '乳製品']",ダイエーネットスーパー,246.24,228.0,本体¥228.0 / 税込¥246.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/50/4901112611350_th.jpg,2025-12-27T19:36:59.557469+00:00
ダノンジャパン　ＢＩＯ　ビオ　脂肪燃焼ヨーグルトドリンク　ブルーベリ．．．,ヨーグルトドリンク,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', 'ドリンク', 'ブルーベリー', '脂肪燃焼', 'ダノン']",ダイエーネットスーパー,149.04,138.0,本体¥138.0 / 税込¥149.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/97/4901112611497_th.jpg,2025-12-27T19:37:42.851945+00:00
チチヤス　たんぱく質が１５ｇ摂れる　チチヤスのむヨーグルト　１９０ｇ．．．,飲むヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['チチヤス', '飲むヨーグルト', 'たんぱく質', '乳製品']",ダイエーネットスーパー,192.24,178.0,本体¥178.0 / 税込¥192.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/41/4902081033341_th.jpg,2025-12-27T19:37:43.172998+00:00
トップバリュ　べストプライス　ブルーベリーヨーグルト　脂肪ゼロ　７０．．．,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', 'ブルーベリー', '脂肪ゼロ', '乳製品']",ダイエーネットスーパー,149.04,138.0,本体¥138.0 / 税込¥149.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/09/4549414436709_th.jpg,2025-12-27T19:36:54.882338+00:00
トップバリュ　ギリシャヨーグルト　バニラ　１１０ｇ,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', 'バニラ', 'ギリシャヨーグルト', '乳製品']",ダイエーネットスーパー,159.84,148.0,本体¥148.0 / 税込¥159.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/28/4549741003728_th.jpg,2025-12-27T19:36:56.104548+00:00
フジッコ　カスピ海ヨーグルト　プレーン　４００ｇ,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', '乳製品', 'プレーン', 'フジッコ', 'カスピ海ヨーグルト']",ダイエーネットスーパー,321.84,298.0,本体¥298.0 / 税込¥321.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/13/4902553009713_th.jpg,2025-12-27T19:36:25.696805+00:00
フジッコ　カスピ海ヨーグルト　種菌セット　３ｇ×２個入,ヨーグルト種菌,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', '種菌', 'カスピ海ヨーグルト', '乳酸菌', '手作り']",ダイエーネットスーパー,842.4,780.0,本体¥780.0 / 税込¥842.4,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/75/4902553062275_th.jpg,2025-12-27T19:37:10.160667+00:00
フジッコ　カスピ海ヨーグルト　脂肪ゼロ　４００ｇ,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', '乳製品', '脂肪ゼロ', 'フジッコ', 'カスピ海ヨーグルト']",ダイエーネットスーパー,321.84,298.0,本体¥298.0 / 税込¥321.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/30/4902553008730_th.jpg,2025-12-27T19:36:25.390353+00:00
古谷乳業　物語のあるヨーグルト　冬の入道雲　４００ｇ,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', '乳製品', 'デザート', '古谷乳業']",ダイエーネットスーパー,300.24,278.0,本体¥278.0 / 税込¥300.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/83/4902605012883_th.jpg,2025-12-27T19:36:26.661937+00:00
小岩井乳業　生乳１００％ヨーグルト　４００ｇ（特定保健用食品）,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', '乳製品', '小岩井乳業', '特定保健用食品', '400g']",ダイエーネットスーパー,300.24,278.0,本体¥278.0 / 税込¥300.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/41/4972050151741_th.jpg,2025-12-27T19:36:32.796329+00:00
日本ルナ　とろ～り食感ヨーグルト　ＭＣＴ入り　８０ｇ（機能性表示食品．．．,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', '乳製品', '機能性表示食品', 'MCT入り']",ダイエーネットスーパー,159.84,148.0,本体¥148.0 / 税込¥159.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/85/4971777297985_th.jpg,2025-12-27T19:36:53.084076+00:00
日本ルナ　のむバニラヨーグルト　とろけるはちみつ　１７０ｇ,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', 'バニラ', 'はちみつ', '乳製品']",ダイエーネットスーパー,138.24,128.0,本体¥128.0 / 税込¥138.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/47/4971777298647_th.jpg,2025-12-27T19:38:02.477806+00:00
日本ルナ　ビフィズス菌のむヨーグルト　２３０ｇ（栄養機能食品）,飲むヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', '乳製品', 'ビフィズス菌', '栄養機能食品', 'ドリンク']",ダイエーネットスーパー,127.44,118.0,本体¥118.0 / 税込¥127.44,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/07/4971777296407_th.jpg,2025-12-27T19:38:01.718498+00:00
日本ルナ　ＴＯＰＣＵＰ　チョコグラノーラヨーグルト　ヨーグルト８０ｇ．．．,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', 'グラノーラ', 'チョコ', '朝食', '乳製品']",ダイエーネットスーパー,246.24,228.0,本体¥228.0 / 税込¥246.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/95/4971777298395_th.jpg,2025-12-27T19:36:53.390068+00:00
日清ヨーク　十勝のむヨーグルト　ブルーベリー　９００ｇ,飲むヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['飲むヨーグルト', '十勝', 'ブルーベリー', '乳製品']",ダイエーネットスーパー,321.84,298.0,本体¥298.0 / 税込¥321.84,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/53/4903009016453_th.jpg,2025-12-27T19:37:57.187808+00:00
明治　ブルガリアヨーグルト　脂肪０　ジューシー果実　苺　１８０ｇ,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', '乳製品', '苺', '果実', '朝食']",ダイエーネットスーパー,149.04,138.0,本体¥138.0 / 税込¥149.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/49/4902705128149_th.jpg,2025-12-27T19:37:13.197194+00:00
明治　プロビオヨーグルト　ＬＧ２１　ドリンクタイプ　低糖・低カロリー．．．,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', 'LG21', 'プロビオ', 'ドリンクタイプ', '低糖・低カロリー']",ダイエーネットスーパー,149.04,138.0,本体¥138.0 / 税込¥149.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/91/4902705095991_th.jpg,2025-12-27T19:37:43.775463+00:00
明治　プロビオヨーグルト　ＬＧ２１　ドリンクタイプ　１１２ｍｌ（機能．．．,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', 'プロビオ', 'LG21', 'ドリンクタイプ']",ダイエーネットスーパー,149.04,138.0,本体¥138.0 / 税込¥149.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/84/4902705095984_th.jpg,2025-12-27T19:37:43.43097+00:00
明治　プロビオヨーグルト　ＬＧ２１　低脂肪　１１２ｇ（機能性表示食品．．．,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', 'LG21', '低脂肪', 'プロビオ']",ダイエーネットスーパー,149.04,138.0,本体¥138.0 / 税込¥149.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/62/4902705036062_th.jpg,2025-12-27T19:36:45.689259+00:00
明治　プロビオヨーグルト　Ｒ－１　ドリンクタイプ　低糖・低カロリー　．．．,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', 'プロビオ', 'R-1', 'ドリンクタイプ', '低糖・低カロリー']",ダイエーネットスーパー,149.04,138.0,本体¥138.0 / 税込¥149.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/28/4902705096028_th.jpg,2025-12-27T19:37:44.507271+00:00
明治　プロビオヨーグルト　Ｒ－１　ドリンクタイプ　砂糖不使用甘さひか．．．,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', 'プロビオ', 'R-1', 'ドリンクタイプ', '砂糖不使用']",ダイエーネットスーパー,149.04,138.0,本体¥138.0 / 税込¥149.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/42/4902705096042_th.jpg,2025-12-27T19:37:44.838644+00:00
明治　プロビオヨーグルト　Ｒ－１　強さひきだすＲ－１乳酸菌ＥＰＳ　ド．．．,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', '乳酸菌', 'プロビオ', 'R-1']",ダイエーネットスーパー,149.04,138.0,本体¥138.0 / 税込¥149.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/11/4902705096011_th.jpg,2025-12-27T19:37:44.111092+00:00
明治　ヘモグロビンＡ１ｃ対策ヨーグルト　ドリンクタイプ　１１２ｇ（機．．．,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', 'ドリンクタイプ', '乳製品', '健康']",ダイエーネットスーパー,149.04,138.0,本体¥138.0 / 税込¥149.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/91/4902705097391_th.jpg,2025-12-27T19:37:53.961403+00:00
明治　Ｗのスキンケアヨーグルト　１１２ｇ（機能性表示食品）,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ヨーグルト', '乳製品', '機能性表示食品', 'スキンケア']",ダイエーネットスーパー,149.04,138.0,本体¥138.0 / 税込¥149.04,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/86/4902705127586_th.jpg,2025-12-27T19:37:56.120409+00:00
森永乳業　ギリシャヨーグルト　パルテノ　ブルーベリーソース入　１０８．．．,ヨーグルト,食料品,乳製品,ヨーグルト,ヨーグルト,"['ギリシャヨーグルト', 'ブルーベリーソース', '乳製品', 'デザート']",ダイエーネットスーパー,192.24,178.0,本体¥178.0 / 税込¥192.24,,,True,https://netsuper.daiei.co.jp/common/parts/data/item/12/4902720162012_th.jpg,2025-12-27T19:37:17.313122+00:00
